,Model,Condition,Description,screenshot_location
0,Claude3.5Sonnect,Baseline_System,1,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des1_wid1.png
1,Claude3.5Sonnect,Baseline_System,2,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des2_wid1.png
2,Claude3.5Sonnect,Baseline_System,3,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des3_wid1.png
3,Claude3.5Sonnect,Baseline_System,4,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des4_wid1.png
4,Claude3.5Sonnect,Baseline_System,5,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des5_wid1.png
5,Claude3.5Sonnect,Baseline_System,6,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des6_wid1.png
6,Claude3.5Sonnect,Baseline_System,7,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des7_wid1.png
7,Claude3.5Sonnect,Baseline_System,8,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des8_wid1.png
8,Claude3.5Sonnect,Baseline_System,9,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des9_wid1.png
9,Claude3.5Sonnect,Baseline_System,10,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/Claude3.5Sonnect/screenshot/Baseline_System/des10_wid1.png
10,GPT4o,Baseline_System,1,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des1_wid1.png
11,GPT4o,Baseline_System,2,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des2_wid1.png
12,GPT4o,Baseline_System,3,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des3_wid1.png
13,GPT4o,Baseline_System,4,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des4_wid1.png
14,GPT4o,Baseline_System,5,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des5_wid1.png
15,GPT4o,Baseline_System,6,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des6_wid1.png
16,GPT4o,Baseline_System,7,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des7_wid1.png
17,GPT4o,Baseline_System,8,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des8_wid1.png
18,GPT4o,Baseline_System,9,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des9_wid1.png
19,GPT4o,Baseline_System,10,https://raw.githubusercontent.com/ChenzwNina/online_annotation/refs/heads/main/docs/GPT4o/screenshot/Baseline_System/des10_wid1.png
